EL ENCANTO,CO-AMA,91263,91
LA CHORRERA,CO-AMA,91405,91
LA PEDRERA,CO-AMA,91407,91
LA VICTORIA,CO-AMA,91430,91
LETICIA,CO-AMA,91001,91
MIRITI – PARANÁ,CO-AMA,91460,91
PUERTO ALEGRIA,CO-AMA,91530,91
PUERTO ARICA,CO-AMA,91536,91
PUERTO NARIÑO,CO-AMA,91540,91
PUERTO SANTANDER,CO-AMA,91669,91
TARAPACÁ,CO-AMA,91798,91
ABEJORRAL,CO-ANT,05002,5
ABRIAQUI,CO-ANT,05004,5
ALEJANDRIA,CO-ANT,05021,5
AMAGA,CO-ANT,05030,5
AMALFI,CO-ANT,05031,5
ANDES,CO-ANT,05034,5
ANGELOPOLIS,CO-ANT,05036,5
ANGOSTURA,CO-ANT,05038,5
ANORI,CO-ANT,05040,5
ANZA,CO-ANT,05044,5
APARTADO,CO-ANT,05045,5
ARBOLETES,CO-ANT,05051,5
ARGELIA,CO-ANT,05055,5
ARMENIA,CO-ANT,05059,5
BARBOSA,CO-ANT,05079,5
BELLO,CO-ANT,05088,5
BELMIRA,CO-ANT,05086,5
BETANIA,CO-ANT,05091,5
BETULIA,CO-ANT,05093,5
BRICENO,CO-ANT,05107,5
BURITICA,CO-ANT,05113,5
CACERES,CO-ANT,05120,5
CAICEDO,CO-ANT,05125,5
CALDAS,CO-ANT,05129,5
CAMPAMENTO,CO-ANT,05134,5
CANASGORDAS,CO-ANT,05138,5
CARACOLI,CO-ANT,05142,5
CARAMANTA,CO-ANT,05145,5
CAREPA,CO-ANT,05147,5
CAROLINA,CO-ANT,05150,5
CAUCASIA,CO-ANT,05154,5
CHIGORODO,CO-ANT,05172,5
CISNEROS,CO-ANT,05190,5
CIUDAD BOLIVAR,CO-ANT,05101,5
COCORNA,CO-ANT,05197,5
CONCEPCION,CO-ANT,05206,5
CONCORDIA,CO-ANT,05209,5
COPACABANA,CO-ANT,05212,5
DABEIBA,CO-ANT,05234,5
DONMATIAS,CO-ANT,05237,5
EBEJICO,CO-ANT,05240,5
EL BAGRE,CO-ANT,05250,5
EL CARMEN DE VIBORAL,CO-ANT,05148,5
EL SANTUARIO,CO-ANT,05697,5
ENTRERRIOS,CO-ANT,05264,5
ENVIGADO,CO-ANT,05266,5
FREDONIA,CO-ANT,05282,5
FRONTINO,CO-ANT,05284,5
GIRALDO,CO-ANT,05306,5
GIRARDOTA,CO-ANT,05308,5
GOMEZ PLATA,CO-ANT,05310,5
GRANADA,CO-ANT,05313,5
GUADALUPE,CO-ANT,05315,5
GUARNE,CO-ANT,05318,5
GUATAPE,CO-ANT,05321,5
HELICONIA,CO-ANT,05347,5
HISPANIA,CO-ANT,05353,5
ITAGUI,CO-ANT,05360,5
ITUANGO,CO-ANT,05361,5
JARDIN,CO-ANT,05364,5
JERICO,CO-ANT,05368,5
LA CEJA,CO-ANT,05376,5
LA ESTRELLA,CO-ANT,05380,5
LA PINTADA,CO-ANT,05390,5
LA UNION,CO-ANT,05400,5
LIBORINA,CO-ANT,05411,5
MACEO,CO-ANT,05425,5
MARINILLA,CO-ANT,05440,5
MEDELLIN,CO-ANT,05001,5
MONTEBELLO,CO-ANT,05467,5
MURINDO,CO-ANT,05475,5
MUTATA,CO-ANT,05480,5
NARINO,CO-ANT,05483,5
NECHI,CO-ANT,05495,5
NECOCLI,CO-ANT,05490,5
OLAYA,CO-ANT,05501,5
PENOL,CO-ANT,05541,5
PEQUE,CO-ANT,05543,5
PUEBLORRICO,CO-ANT,05576,5
PUERTO BERRIO,CO-ANT,05579,5
PUERTO NARE,CO-ANT,05585,5
PUERTO TRIUNFO,CO-ANT,05591,5
REMEDIOS,CO-ANT,05604,5
RETIRO,CO-ANT,05607,5
RIONEGRO,CO-ANT,05615,5
SABANALARGA,CO-ANT,05628,5
SABANETA,CO-ANT,05631,5
SALGAR,CO-ANT,05642,5
SAN ANDRES DE CUERQUIA,CO-ANT,05647,5
SAN CARLOS,CO-ANT,05649,5
SAN FRANCISCO,CO-ANT,05652,5
SAN JERONIMO,CO-ANT,05656,5
SAN JOSE DE LA MONTANA,CO-ANT,05658,5
SAN JUAN DE URABA,CO-ANT,05659,5
SAN LUIS,CO-ANT,05660,5
SAN PEDRO DE LOS MILAGROS,CO-ANT,05664,5
SAN PEDRO DE URABA,CO-ANT,05665,5
SAN RAFAEL,CO-ANT,05667,5
SAN ROQUE,CO-ANT,05670,5
SAN VICENTE FERRER,CO-ANT,05674,5
SANTA BARBARA,CO-ANT,05679,5
SANTA FE DE ANTIOQUIA,CO-ANT,05042,5
SANTA ROSA DE OSOS,CO-ANT,05686,5
SANTO DOMINGO,CO-ANT,05690,5
SEGOVIA,CO-ANT,05736,5
SONSON,CO-ANT,05756,5
SOPETRAN,CO-ANT,05761,5
TAMESIS,CO-ANT,05789,5
TARAZA,CO-ANT,05790,5
TARSO,CO-ANT,05792,5
TITIRIBI,CO-ANT,05809,5
TOLEDO,CO-ANT,05819,5
TURBO,CO-ANT,05837,5
URAMITA,CO-ANT,05842,5
URRAO,CO-ANT,05847,5
VALDIVIA,CO-ANT,05854,5
VALPARAISO,CO-ANT,05856,5
VEGACHI,CO-ANT,05858,5
VENECIA,CO-ANT,05861,5
VIGIA DEL FUERTE,CO-ANT,05873,5
YALI,CO-ANT,05885,5
YARUMAL,CO-ANT,05887,5
YOLOMBO,CO-ANT,05890,5
YONDO,CO-ANT,05893,5
ZARAGOZA,CO-ANT,05895,5
CRAVO NORTE,CO-ARA,81220,81
ARAUCA,CO-ARA,81001,81
ARAUQUITA,CO-ARA,81065,81
FORTUL,CO-ARA,81300,81
PUERTO RONDON,CO-ARA,81591,81
SARAVENA,CO-ARA,81736,81
TAME,CO-ARA,81794,81
SABANALARGA,CO-ATL,08638,8
BARANOA,CO-ATL,08078,8
BARRANQUILLA,CO-ATL,08001,8
CAMPO DE LA CRUZ,CO-ATL,08137,8
CANDELARIA,CO-ATL,08141,8
GALAPA,CO-ATL,08296,8
JUAN DE ACOSTA,CO-ATL,08372,8
LURUACO,CO-ATL,08421,8
MALAMBO,CO-ATL,08433,8
MANATI,CO-ATL,08436,8
PALMAR DE VARELA,CO-ATL,08520,8
POLONUEVO,CO-ATL,08558,8
PONEDERA,CO-ATL,08560,8
PUERTO COLOMBIA,CO-ATL,08573,8
REPELON,CO-ATL,08606,8
SABANAGRANDE,CO-ATL,08634,8
SANTA LUCIA,CO-ATL,08675,8
SANTO TOMAS,CO-ATL,08685,8
SOLEDAD,CO-ATL,08758,8
SUAN,CO-ATL,08770,8
TUBARA,CO-ATL,08832,8
PIOJO,CO-ATL,08549,8
USIACURI,CO-ATL,08849,8
SAN CRISTOBAL,CO-BOL,13620,13
ARENAL,CO-BOL,13042,13
ARJONA,CO-BOL,13052,13
CALAMAR,CO-BOL,13140,13
CARTAGENA DE INDIAS,CO-BOL,13001,13
CLEMENCIA,CO-BOL,13222,13
EL CARMEN DE BOLIVAR,CO-BOL,13244,13
MAGANGUE,CO-BOL,13430,13
MAHATES,CO-BOL,13433,13
MARIA LA BAJA,CO-BOL,13442,13
SAN JACINTO,CO-BOL,13654,13
SAN JUAN NEPOMUCENO,CO-BOL,13657,13
SANTA CATALINA,CO-BOL,13673,13
SOPLAVIENTO,CO-BOL,13760,13
TALAIGUA NUEVO,CO-BOL,13780,13
TURBACO,CO-BOL,13836,13
TURBANA,CO-BOL,13838,13
VILLANUEVA,CO-BOL,13873,13
ZAMBRANO,CO-BOL,13894,13
MORALES,CO-BOL,13473,13
CORDOBA,CO-BOL,13212,13
SAN PABLO,CO-BOL,13670,13
ACHI,CO-BOL,13006,13
ALTOS DEL ROSARIO,CO-BOL,13030,13
ARROYOHONDO,CO-BOL,13062,13
BARRANCO DE LOBA,CO-BOL,13074,13
CANTAGALLO,CO-BOL,13160,13
CICUCO,CO-BOL,13188,13
EL GUAMO,CO-BOL,13248,13
EL PENON,CO-BOL,13268,13
HATILLO DE LOBA,CO-BOL,13300,13
MARGARITA,CO-BOL,13440,13
MOMPOS,CO-BOL,13468,13
MONTECRISTO,CO-BOL,13458,13
NOROSI,CO-BOL,13490,13
PINILLOS,CO-BOL,13549,13
REGIDOR,CO-BOL,13580,13
RIO VIEJO,CO-BOL,13600,13
SAN ESTANISLAO,CO-BOL,13647,13
SAN FERNANDO,CO-BOL,13650,13
SAN JACINTO DEL CAUCA,CO-BOL,13655,13
SAN MARTIN DE LOBA,CO-BOL,13667,13
SANTA ROSA,CO-BOL,13683,13
SANTA ROSA DEL SUR,CO-BOL,13688,13
SIMITI,CO-BOL,13744,13
TIQUISIO,CO-BOL,13810,13
CALDAS,CO-BOY,15131,15
JERICO,CO-BOY,15368,15
COVARACHIA,CO-BOY,15218,15
GUACAMAYAS,CO-BOY,15317,15
AQUITANIA,CO-BOY,15047,15
ARCABUCO,CO-BOY,15051,15
BELEN,CO-BOY,15087,15
BOAVITA,CO-BOY,15097,15
CERINZA,CO-BOY,15162,15
CHINAVITA,CO-BOY,15172,15
CHIQUINQUIRA,CO-BOY,15176,15
CHISCAS,CO-BOY,15180,15
CHITA,CO-BOY,15183,15
CHITARAQUE,CO-BOY,15185,15
CIENEGA,CO-BOY,15189,15
COMBITA,CO-BOY,15204,15
CUBARA,CO-BOY,15223,15
CUCAITA,CO-BOY,15224,15
DUITAMA,CO-BOY,15238,15
EL COCUY,CO-BOY,15244,15
EL ESPINO,CO-BOY,15248,15
FLORESTA,CO-BOY,15276,15
GACHANTIVA,CO-BOY,15293,15
GAMEZA,CO-BOY,15296,15
GARAGOA,CO-BOY,15299,15
GUATEQUE,CO-BOY,15322,15
GUAYATA,CO-BOY,15325,15
JENESANO,CO-BOY,15367,15
LA CAPILLA,CO-BOY,15380,15
LA UVITA,CO-BOY,15403,15
MACANAL,CO-BOY,15425,15
MIRAFLORES,CO-BOY,15455,15
MONGUA,CO-BOY,15464,15
MONGUI,CO-BOY,15466,15
MONIQUIRA,CO-BOY,15469,15
MUZO,CO-BOY,15480,15
NOBSA,CO-BOY,15491,15
NUEVO COLON,CO-BOY,15494,15
OTANCHE,CO-BOY,15507,15
PAEZ,CO-BOY,15514,15
PAIPA,CO-BOY,15516,15
PAJARITO,CO-BOY,15518,15
PAUNA,CO-BOY,15531,15
PAZ DE RIO,CO-BOY,15537,15
PESCA,CO-BOY,15542,15
PUERTO BOYACA,CO-BOY,15572,15
QUIPAMA,CO-BOY,15580,15
RAMIRIQUI,CO-BOY,15599,15
RAQUIRA,CO-BOY,15600,15
SABOYA,CO-BOY,15632,15
SACHICA,CO-BOY,15638,15
SAMACA,CO-BOY,15646,15
SAN JOSE DE PARE,CO-BOY,15664,15
SAN LUIS DE GACENO,CO-BOY,15667,15
SAN MATEO,CO-BOY,15673,15
SANTA ROSA DE VITERBO,CO-BOY,15693,15
SANTA SOFIA,CO-BOY,15696,15
SANTANA,CO-BOY,15686,15
SATIVANORTE,CO-BOY,15720,15
SOATA,CO-BOY,15753,15
SOCHA,CO-BOY,15757,15
SOGAMOSO,CO-BOY,15759,15
SOMONDOCO,CO-BOY,15761,15
SOTAQUIRA,CO-BOY,15763,15
SUSACON,CO-BOY,15774,15
SUTAMARCHAN,CO-BOY,15776,15
SUTATENZA,CO-BOY,15778,15
TASCO,CO-BOY,15790,15
TENZA,CO-BOY,15798,15
TIBANA,CO-BOY,15804,15
TIBASOSA,CO-BOY,15806,15
TINJACA,CO-BOY,15808,15
TIPACOQUE,CO-BOY,15810,15
TOCA,CO-BOY,15814,15
TUNJA,CO-BOY,15001,15
TURMEQUE,CO-BOY,15835,15
TUTA,CO-BOY,15837,15
UMBITA,CO-BOY,15842,15
VENTAQUEMADA,CO-BOY,15861,15
VILLA DE LEYVA,CO-BOY,15407,15
ZETAQUIRA,CO-BOY,15897,15
BUENAVISTA,CO-BOY,15109,15
SANTA MARIA,CO-BOY,15690,15
LA VICTORIA,CO-BOY,15401,15
ALMEIDA,CO-BOY,15022,15
BERBEO,CO-BOY,15090,15
BETEITIVA,CO-BOY,15092,15
BOYACA,CO-BOY,15104,15
BRICENO,CO-BOY,15106,15
BUSBANZA,CO-BOY,15114,15
CAMPOHERMOSO,CO-BOY,15135,15
CHIQUIZA,CO-BOY,15232,15
CHIVATA,CO-BOY,15187,15
CHIVOR,CO-BOY,15236,15
COPER,CO-BOY,15212,15
CORRALES,CO-BOY,15215,15
CUITIVA,CO-BOY,15226,15
FIRAVITOBA,CO-BOY,15272,15
GUICAN,CO-BOY,15332,15
IZA,CO-BOY,15362,15
LABRANZAGRANDE,CO-BOY,15377,15
MARIPI,CO-BOY,15442,15
MOTAVITA,CO-BOY,15476,15
OICATA,CO-BOY,15500,15
PACHAVITA,CO-BOY,15511,15
PANQUEBA,CO-BOY,15522,15
PAYA,CO-BOY,15533,15
PISBA,CO-BOY,15550,15
RONDON,CO-BOY,15621,15
SAN EDUARDO,CO-BOY,15660,15
SAN MIGUEL DE SEMA,CO-BOY,15676,15
SAN PABLO DE BORBUR,CO-BOY,15681,15
SATIVASUR,CO-BOY,15723,15
SIACHOQUE,CO-BOY,15740,15
SOCOTA,CO-BOY,15755,15
SORA,CO-BOY,15762,15
SORACA,CO-BOY,15764,15
TOGUI,CO-BOY,15816,15
TOPAGA,CO-BOY,15820,15
TOTA,CO-BOY,15822,15
TUNUNGUA,CO-BOY,15832,15
TUTAZA,CO-BOY,15839,15
VIRACACHA,CO-BOY,15879,15
AGUADAS,CO-CAL,17013,17
ANSERMA,CO-CAL,17042,17
ARANZAZU,CO-CAL,17050,17
BELALCAZAR,CO-CAL,17088,17
CHINCHINA,CO-CAL,17174,17
FILADELFIA,CO-CAL,17272,17
LA DORADA,CO-CAL,17380,17
LA MERCED,CO-CAL,17388,17
MANIZALES,CO-CAL,17001,17
MANZANARES,CO-CAL,17433,17
MARMATO,CO-CAL,17442,17
MARQUETALIA,CO-CAL,17444,17
MARULANDA,CO-CAL,17446,17
NEIRA,CO-CAL,17486,17
NORCASIA,CO-CAL,17495,17
PACORA,CO-CAL,17513,17
PALESTINA,CO-CAL,17524,17
PENSILVANIA,CO-CAL,17541,17
RIOSUCIO,CO-CAL,17614,17
RISARALDA,CO-CAL,17616,17
SALAMINA,CO-CAL,17653,17
SAMANA,CO-CAL,17662,17
SUPIA,CO-CAL,17777,17
VICTORIA,CO-CAL,17867,17
VILLAMARIA,CO-CAL,17873,17
VITERBO,CO-CAL,17877,17
SAN JOSE,CO-CAL,17665,17
PUERTO RICO,CO-CAQ,18592,18
VALPARAISO,CO-CAQ,18860,18
SOLANO,CO-CAQ,18756,18
ALBANIA,CO-CAQ,18029,18
BELEN DE LOS ANDAQUIES,CO-CAQ,18094,18
CARTAGENA DEL CHAIRA,CO-CAQ,18150,18
CURILLO,CO-CAQ,18205,18
EL DONCELLO,CO-CAQ,18247,18
EL PAUJIL,CO-CAQ,18256,18
FLORENCIA,CO-CAQ,18001,18
MORELIA,CO-CAQ,18479,18
SAN JOSE DEL FRAGUA,CO-CAQ,18610,18
SAN VICENTE DEL CAGUAN,CO-CAQ,18753,18
SOLITA,CO-CAQ,18785,18
LA MONTANITA,CO-CAQ,18410,18
MILAN,CO-CAQ,18460,18
SABANALARGA,CO-CAS,85300,85
VILLANUEVA,CO-CAS,85440,85
AGUAZUL,CO-CAS,85010,85
HATO COROZAL,CO-CAS,85125,85
MANI,CO-CAS,85139,85
MONTERREY,CO-CAS,85162,85
PAZ DE ARIPORO,CO-CAS,85250,85
PORE,CO-CAS,85263,85
SAN LUIS DE PALENQUE,CO-CAS,85325,85
TAURAMENA,CO-CAS,85410,85
TRINIDAD,CO-CAS,85430,85
YOPAL,CO-CAS,85001,85
CHAMEZA,CO-CAS,85015,85
LA SALINA,CO-CAS,85136,85
NUNCHIA,CO-CAS,85225,85
OROCUE,CO-CAS,85230,85
RECETOR,CO-CAS,85279,85
SACAMA,CO-CAS,85315,85
TAMARA,CO-CAS,85400,85
ARGELIA,CO-CAU,19050,19
LA SIERRA,CO-CAU,19392,19
PAEZ,CO-CAU,19517,19
FLORENCIA,CO-CAU,19290,19
ALMAGUER,CO-CAU,19022,19
BALBOA,CO-CAU,19075,19
BOLIVAR,CO-CAU,19100,19
BUENOS AIRES,CO-CAU,19110,19
CAJIBIO,CO-CAU,19130,19
CALOTO,CO-CAU,19142,19
CORINTO,CO-CAU,19212,19
EL TAMBO,CO-CAU,19256,19
GUAPI,CO-CAU,19318,19
INZA,CO-CAU,19355,19
LA VEGA,CO-CAU,19397,19
MERCADERES,CO-CAU,19450,19
MIRANDA,CO-CAU,19455,19
MORALES,CO-CAU,19473,19
PADILLA,CO-CAU,19513,19
PATIA,CO-CAU,19532,19
PIENDAMO,CO-CAU,19548,19
POPAYAN,CO-CAU,19001,19
PUERTO TEJADA,CO-CAU,19573,19
ROSAS,CO-CAU,19622,19
SANTANDER DE QUILICHAO,CO-CAU,19698,19
SILVIA,CO-CAU,19743,19
SUAREZ,CO-CAU,19780,19
TIMBIO,CO-CAU,19807,19
TORIBIO,CO-CAU,19821,19
TOTORO,CO-CAU,19824,19
VILLA RICA,CO-CAU,19845,19
SAN SEBASTIAN,CO-CAU,19693,19
SUCRE,CO-CAU,19785,19
CALDONO,CO-CAU,19137,19
GUACHENE,CO-CAU,19300,19
JAMBALO,CO-CAU,19364,19
LOPEZ DE MICAY,CO-CAU,19418,19
PIAMONTE,CO-CAU,19533,19
PURACE,CO-CAU,19585,19
SANTA ROSA,CO-CAU,19701,19
SOTARA,CO-CAU,19760,19
TIMBIQUI,CO-CAU,19809,19
SAN DIEGO,CO-CES,20750,20
GONZALEZ,CO-CES,20310,20
PUEBLO BELLO,CO-CES,20570,20
AGUACHICA,CO-CES,20011,20
AGUSTIN CODAZZI,CO-CES,20013,20
ASTREA,CO-CES,20032,20
BECERRIL,CO-CES,20045,20
BOSCONIA,CO-CES,20060,20
CHIMICHAGUA,CO-CES,20175,20
CHIRIGUANA,CO-CES,20178,20
CURUMANI,CO-CES,20228,20
EL COPEY,CO-CES,20238,20
EL PASO,CO-CES,20250,20
GAMARRA,CO-CES,20295,20
LA GLORIA,CO-CES,20383,20
LA JAGUA DE IBIRICO,CO-CES,20400,20
PAILITAS,CO-CES,20517,20
PELAYA,CO-CES,20550,20
RIO DE ORO,CO-CES,20614,20
SAN ALBERTO,CO-CES,20710,20
SAN MARTIN,CO-CES,20770,20
TAMALAMEQUE,CO-CES,20787,20
VALLEDUPAR,CO-CES,20001,20
LA PAZ,CO-CES,20621,20
MANAURE BALCON DEL CESAR,CO-CES,20443,20
RIOSUCIO,CO-CHO,27615,27
NOVITA,CO-CHO,27491,27
SIPI,CO-CHO,27745,27
CERTEGUI,CO-CHO,27160,27
CONDOTO,CO-CHO,27205,27
EL CARMEN DE ATRATO,CO-CHO,27245,27
ISTMINA,CO-CHO,27361,27
LLORO,CO-CHO,27413,27
QUIBDO,CO-CHO,27001,27
SAN JOSE DEL PALMAR,CO-CHO,27660,27
TADO,CO-CHO,27787,27
UNGUIA,CO-CHO,27800,27
ACANDI,CO-CHO,27006,27
ALTO BAUDO,CO-CHO,27025,27
ATRATO,CO-CHO,27050,27
BAGADO,CO-CHO,27073,27
BAHIA SOLANO,CO-CHO,27075,27
BAJO BAUDO,CO-CHO,27077,27
BOJAYA,CO-CHO,27099,27
CARMEN DEL DARIEN,CO-CHO,27150,27
EL CANTON DEL SAN PABLO,CO-CHO,27135,27
EL LITORAL DEL SAN JUAN,CO-CHO,27250,27
JURADO,CO-CHO,27372,27
MEDIO ATRATO,CO-CHO,27425,27
MEDIO BAUDO,CO-CHO,27430,27
MEDIO SAN JUAN,CO-CHO,27450,27
NUQUI,CO-CHO,27495,27
RIO IRO,CO-CHO,27580,27
RIO QUITO,CO-CHO,27600,27
UNION PANAMERICANA,CO-CHO,27810,27
AYAPEL,CO-COR,23068,23
BUENAVISTA,CO-COR,23079,23
CERETE,CO-COR,23162,23
CHIMA,CO-COR,23168,23
CHINU,CO-COR,23182,23
CIENAGA DE ORO,CO-COR,23189,23
COTORRA,CO-COR,23300,23
LA APARTADA,CO-COR,23350,23
LORICA,CO-COR,23417,23
MOMIL,CO-COR,23464,23
MONTELIBANO,CO-COR,23466,23
MONTERIA,CO-COR,23001,23
PLANETA RICA,CO-COR,23555,23
PUEBLO NUEVO,CO-COR,23570,23
PUERTO LIBERTADOR,CO-COR,23580,23
SAHAGUN,CO-COR,23660,23
SAN ANDRES DE SOTAVENTO,CO-COR,23670,23
SAN ANTERO,CO-COR,23672,23
SAN BERNARDO DEL VIENTO,CO-COR,23675,23
SAN CARLOS,CO-COR,23678,23
SAN JOSE DE URE,CO-COR,23682,23
SAN PELAYO,CO-COR,23686,23
TIERRALTA,CO-COR,23807,23
TUCHIN,CO-COR,23815,23
VALENCIA,CO-COR,23855,23
CANALETE,CO-COR,23090,23
LOS CORDOBAS,CO-COR,23419,23
MONITOS,CO-COR,23500,23
PUERTO ESCONDIDO,CO-COR,23574,23
PURISIMA DE LA CONCEPCION,CO-COR,23586,23
GRANADA,CO-CUN,25312,25
VENECIA,CO-CUN,25506,25
SAN CAYETANO,CO-CUN,25653,25
LA VEGA,CO-CUN,25402,25
RICAURTE,CO-CUN,25612,25
UBAQUE,CO-CUN,25841,25
AGUA DE DIOS,CO-CUN,25001,25
ALBAN,CO-CUN,25019,25
ANAPOIMA,CO-CUN,25035,25
ANOLAIMA,CO-CUN,25040,25
APULO,CO-CUN,25599,25
ARBELAEZ,CO-CUN,25053,25
BELTRAN,CO-CUN,25086,25
BOJACA,CO-CUN,25099,25
CABRERA,CO-CUN,25120,25
CACHIPAY,CO-CUN,25123,25
CAJICA,CO-CUN,25126,25
CAPARRAPI,CO-CUN,25148,25
CAQUEZA,CO-CUN,25151,25
CARMEN DE CARUPA,CO-CUN,25154,25
CHIA,CO-CUN,25175,25
CHIPAQUE,CO-CUN,25178,25
CHOACHI,CO-CUN,25181,25
CHOCONTA,CO-CUN,25183,25
COGUA,CO-CUN,25200,25
COTA,CO-CUN,25214,25
EL COLEGIO,CO-CUN,25245,25
EL ROSAL,CO-CUN,25260,25
FACATATIVA,CO-CUN,25269,25
FOMEQUE,CO-CUN,25279,25
FOSCA,CO-CUN,25281,25
FUNZA,CO-CUN,25286,25
FUSAGASUGA,CO-CUN,25290,25
GACHALA,CO-CUN,25293,25
GACHANCIPA,CO-CUN,25295,25
GACHETA,CO-CUN,25297,25
GAMA,CO-CUN,25299,25
GIRARDOT,CO-CUN,25307,25
